NAICS,SIC
561440,7322
561450,7323
511140,7331
541860,7331
323111,7334
561439,7334
481219,7335
541922,7335
541430,7336
561410,7338
561492,7338
561710,7342
561720,7342
561720,7349
561790,7349
532283,7352
532490,7352
238910,7353
238990,7353
532412,7353
532210,7359
532289,7359
532310,7359
532411,7359
532412,7359
532420,7359
532490,7359
562991,7359
541612,7361
561311,7361
561312,7361
561320,7363
561330,7363
541511,7371
334614,7372
511210,7372
541512,7373
518210,7374
517311,7375
517919,7375
541513,7376
532420,7377
443142,7378
811212,7378
518210,7379
541512,7379
541519,7379
561611,7381
561612,7381
561613,7381
561621,7382
519110,7383
711510,7383
812921,7384
812922,7384
312230,7389
313310,7389
314999,7389
325998,7389
425120,7389
488490,7389
491110,7389
512240,7389
512290,7389
518210,7389
519190,7389
522320,7389
541199,7389
541340,7389
541350,7389
541370,7389
541410,7389
541420,7389
541490,7389
541870,7389
541890,7389
541930,7389
541990,7389
561410,7389
561421,7389
561422,7389
561431,7389
561439,7389
561440,7389
561491,7389
561499,7389
561591,7389
561599,7389
561790,7389
561910,7389
561920,7389
561990,7389
711310,7389
711320,7389
711410,7389
812320,7389
812990,7389
532120,7513
532111,7514
532112,7515
532120,7519
812930,7521
811121,7532
811112,7533
326212,7534
811198,7534
811122,7536
811113,7537
811111,7538
811118,7539
811198,7539
811192,7542
488410,7549
811122,7549
811191,7549
811198,7549
238290,7622
443142,7622
811211,7622
811213,7622
443141,7623
811310,7623
811412,7623
443141,7629
811211,7629
811212,7629
811213,7629
811219,7629
811412,7629
448310,7631
811490,7631
811420,7641
811310,7692
335312,7694
811310,7694
115210,7699
238220,7699
442299,7699
444130,7699
444210,7699
451110,7699
488390,7699
561622,7699
561790,7699
562991,7699
562998,7699
711510,7699
811211,7699
811212,7699
811219,7699
811310,7699
811411,7699
811412,7699
811430,7699
811490,7699
512110,7812
334614,7819
512191,7819
512199,7819
532281,7819
532490,7819
541214,7819
541690,7819
561311,7819
711510,7819
423990,7822
512120,7822
512120,7829
512199,7829
519120,7829
512131,7832
512132,7833
532282,7841
611610,7911
713990,7911
512290,7922
532490,7922
561311,7922
561599,7922
711110,7922
711120,7922
711310,7922
711320,7922
711410,7922
711510,7922
711130,7929
711190,7929
711510,7929
713950,7933
711211,7941
711310,7941
711320,7941
711410,7941
711212,7948
711219,7948
713940,7991
713910,7992
713120,7993
713290,7993
713990,7993
713110,7996
481219,7997
488119,7997
713910,7997
713940,7997
713990,7997
487110,7999
487210,7999
487990,7999
532284,7999
561599,7999
611620,7999
611699,7999
711190,7999
711219,7999
711310,7999
711320,7999
712190,7999
713210,7999
713290,7999
713920,7999
713940,7999
713990,7999
812990,7999
621111,8011
621112,8011
621491,8011
621493,8011
621210,8021
621111,8031
621112,8031
621310,8041
621320,8042
621391,8043
621330,8049
621340,8049
621399,8049
623110,8051
623210,8051
623311,8051
623110,8052
623210,8052
623311,8052
623110,8059
623210,8059
623311,8059
622110,8062
622210,8063
622110,8069
622210,8069
622310,8069
621511,8071
621512,8071
339116,8072
